TX_DT,Account_No,CIF_No,DC_Sts,Application_Branch,Score_Value,Score_Grade,MDD,FinPlus_Code,Billing_OSP,Billing_Count,Collection_OSP,Collection_Count,Unpaid_OSP,Unpaid_Count,Maintain_OSP,Maintain_Count
20260902,1000000000000129,72992763,0,14,217,A,10,O,5373.68,1,5373.68,1,0.0,0,0.0,0
20260825,1000000000000129,72992763,0,39,245,A,10,S,5373.68,1,5373.68,1,0.0,0,0.0,0
20260902,1000000000000130,41154021,0,36,249,B,2,O,14134.12,1,14134.12,1,0.0,0,0.0,0
20260825,1000000000000130,41154021,0,18,245,A,10,F,14134.12,1,14134.12,1,0.0,0,0.0,0
20260902,1000000000000131,20159556,0,19,246,A,25,S,11291.3,1,11291.3,1,0.0,0,0.0,0
20260825,1000000000000131,20159556,0,18,194,A,25,S,11291.3,1,11291.3,1,0.0,0,0.0,0
20260902,1000000000000132,79241651,0,34,200,B,2,S,9558.44,1,9558.44,1,0.0,0,0.0,0
20260825,1000000000000132,79241651,0,16,225,A,25,S,9558.44,1,9558.44,1,0.0,0,0.0,0
20260902,1000000000000133,62215999,0,13,200,A,2,O,13199.55,1,13199.55,1,0.0,0,0.0,0
20260825,1000000000000133,62215999,0,23,185,B,10,S,13199.55,1,13199.55,1,0.0,0,0.0,0
20260902,1000000000000134,31368427,0,47,245,B,18,F,2025.0,1,1941.03,1,67.86,1,16.11,1
20260825,1000000000000134,31368427,0,9,220,B,10,O,2025.0,1,2025.0,1,0.0,0,0.0,0
20260902,1000000000000135,60525308,0,27,188,A,2,S,3640.11,1,3640.11,1,0.0,0,0.0,0
20260825,1000000000000135,60525308,0,3,207,A,2,F,3640.11,1,3523.0,1,82.64,1,34.47,1
20260902,1000000000000136,61104210,2,39,114,B,10,F,17866.03,1,9059.74,1,8454.4,1,351.89,1
20260825,1000000000000136,61104210,2,15,120,C,10,F,17866.03,1,9974.1,1,6289.96,1,1601.97,1
20260902,1000000000000137,96596388,0,19,210,A,2,S,3932.75,1,3932.75,1,0.0,0,0.0,0
20260825,1000000000000137,96596388,0,31,211,A,18,S,3932.75,1,3932.75,1,0.0,0,0.0,0
20260902,1000000000000138,93805780,2,6,166,B,2,O,20309.73,1,9527.46,1,7351.01,1,3431.26,1
20260825,1000000000000138,93805780,2,34,163,B,25,S,20309.73,1,8640.92,1,7054.82,1,4613.99,1
20260902,1000000000000139,18809485,0,19,229,B,2,O,2625.0,1,2625.0,1,0.0,0,0.0,0
20260825,1000000000000139,18809485,0,10,206,A,2,O,2625.0,1,2568.99,1,34.27,1,21.74,1
20260902,1000000000000140,72796578,0,40,183,B,25,O,21611.32,1,21611.32,1,0.0,0,0.0,0
20260825,1000000000000140,72796578,0,34,170,B,2,O,21611.32,1,21611.32,1,0.0,0,0.0,0
20260902,1000000000000141,35553337,0,28,245,A,18,F,13968.06,1,13968.06,1,0.0,0,0.0,0
20260825,1000000000000141,35553337,0,11,186,B,18,F,13968.06,1,13968.06,1,0.0,0,0.0,0
20260902,1000000000000142,12895539,0,45,216,A,25,F,1925.0,1,1925.0,1,0.0,0,0.0,0
20260825,1000000000000142,12895539,0,37,228,B,18,F,1925.0,1,1925.0,1,0.0,0,0.0,0
20260902,1000000000000143,97441279,0,36,248,A,18,S,14057.06,1,13636.21,1,279.98,1,140.87,1
20260825,1000000000000143,97441279,0,16,184,B,18,O,14057.06,1,14057.06,1,0.0,0,0.0,0
20260902,1000000000000144,98842638,0,8,241,B,25,O,17360.51,1,17360.51,1,0.0,0,0.0,0
20260825,1000000000000144,98842638,0,29,170,B,2,F,17360.51,1,17360.51,1,0.0,0,0.0,0
20260902,1000000000000145,43274275,0,49,195,B,18,S,15877.67,1,15877.67,1,0.0,0,0.0,0
20260825,1000000000000145,43274275,0,17,191,A,10,F,15877.67,1,15877.67,1,0.0,0,0.0,0
20260902,1000000000000146,62974395,0,41,239,B,18,F,3252.97,1,3252.97,1,0.0,0,0.0,0
20260825,1000000000000146,62974395,0,7,244,A,25,S,3252.97,1,3252.97,1,0.0,0,0.0,0
20260902,1000000000000147,52812494,0,36,224,A,2,O,9590.61,1,9442.98,1,93.97,1,53.66,1
20260825,1000000000000147,52812494,0,50,221,A,10,O,9590.61,1,9590.61,1,0.0,0,0.0,0
20260902,1000000000000148,77484308,0,14,217,A,25,F,9186.5,1,9186.5,1,0.0,0,0.0,0
20260825,1000000000000148,77484308,0,9,172,A,18,S,9186.5,1,9186.5,1,0.0,0,0.0,0
20260902,1000000000000149,98242071,0,26,226,A,2,S,4452.11,1,4452.11,1,0.0,0,0.0,0
20260825,1000000000000149,98242071,0,7,188,A,10,S,4452.11,1,4452.11,1,0.0,0,0.0,0
20260902,1000000000000150,48112097,0,24,184,B,10,S,11829.99,1,11829.99,1,0.0,0,0.0,0
20260825,1000000000000150,48112097,0,26,200,B,2,S,11829.99,1,11829.99,1,0.0,0,0.0,0
20260902,1000000000000151,49885623,3,5,138,C,18,O,8763.38,1,3033.87,1,3477.66,1,2251.85,1
20260825,1000000000000151,49885623,3,6,167,C,25,F,8763.38,1,2633.59,1,4162.94,1,1966.85,1
20260902,1000000000000152,93302663,0,16,232,B,25,F,21578.21,1,21578.21,1,0.0,0,0.0,0
20260825,1000000000000152,93302663,0,36,225,A,2,O,21578.21,1,21578.21,1,0.0,0,0.0,0
20260902,1000000000000153,87267518,0,13,191,A,10,O,11742.19,1,11742.19,1,0.0,0,0.0,0
20260825,1000000000000153,87267518,0,10,172,B,25,F,11742.19,1,11742.19,1,0.0,0,0.0,0
20260902,1000000000000154,10344739,0,20,222,A,18,O,7281.64,1,7169.65,1,110.37,1,1.62,1
20260825,1000000000000154,10344739,0,16,233,A,18,O,7281.64,1,7281.64,1,0.0,0,0.0,0
20260902,1000000000000155,77125394,0,36,176,B,2,F,1850.0,1,1850.0,1,0.0,0,0.0,0
20260825,1000000000000155,77125394,0,21,181,A,10,O,1850.0,1,1850.0,1,0.0,0,0.0,0
20260902,1000000000000156,28853237,0,33,175,A,2,O,15877.84,1,15877.84,1,0.0,0,0.0,0
20260825,1000000000000156,28853237,0,45,219,A,2,S,15877.84,1,15877.84,1,0.0,0,0.0,0
20260902,1000000000000157,65921495,0,5,243,B,10,F,12033.85,1,12033.85,1,0.0,0,0.0,0
20260825,1000000000000157,65921495,0,27,246,B,10,F,12033.85,1,12033.85,1,0.0,0,0.0,0
20260902,1000000000000158,65692507,0,23,229,B,10,S,9652.99,1,9652.99,1,0.0,0,0.0,0
20260825,1000000000000158,65692507,0,9,196,B,2,O,9652.99,1,9210.96,1,277.73,1,164.3,1
20260902,1000000000000159,75972463,0,24,205,B,18,F,10173.69,1,10173.69,1,0.0,0,0.0,0
20260825,1000000000000159,75972463,0,19,187,A,10,O,10173.69,1,10173.69,1,0.0,0,0.0,0
20260902,1000000000000160,80314738,0,4,183,A,2,O,1725.0,1,1725.0,1,0.0,0,0.0,0
20260825,1000000000000160,80314738,0,14,249,B,25,S,1725.0,1,1658.53,1,58.41,1,8.06,1
20260902,1000000000000161,78555983,0,33,185,A,18,O,3126.11,1,3126.11,1,0.0,0,0.0,0
20260825,1000000000000161,78555983,0,8,229,A,18,S,3126.11,1,3126.11,1,0.0,0,0.0,0
20260902,1000000000000162,41913701,0,4,214,A,18,S,11524.47,1,11524.47,1,0.0,0,0.0,0
20260825,1000000000000162,41913701,0,13,198,A,18,O,11524.47,1,11524.47,1,0.0,0,0.0,0
20260902,1000000000000163,97011596,0,35,182,B,25,F,17707.49,1,17707.49,1,0.0,0,0.0,0
20260825,1000000000000163,97011596,0,22,216,B,2,F,17707.49,1,17707.49,1,0.0,0,0.0,0
20260902,1000000000000164,77684507,0,32,242,A,18,O,6731.89,1,6731.89,1,0.0,0,0.0,0
20260825,1000000000000164,77684507,0,12,216,B,18,O,6731.89,1,6731.89,1,0.0,0,0.0,0
20260902,1000000000000165,13971694,1,26,163,C,18,O,7369.19,1,4296.64,1,2633.38,1,439.17,1
20260825,1000000000000165,13971694,1,8,155,B,25,S,7369.19,1,4086.49,1,2559.17,1,723.53,1
20260902,1000000000000166,85374852,0,11,194,A,2,O,18665.33,1,18665.33,1,0.0,0,0.0,0
20260825,1000000000000166,85374852,0,44,205,A,10,F,18665.33,1,18665.33,1,0.0,0,0.0,0
20260902,1000000000000167,96078953,2,47,138,B,2,S,25006.9,1,13362.47,1,7387.88,1,4256.55,1
20260825,1000000000000167,96078953,2,35,142,C,18,F,25006.9,1,13411.39,1,10024.56,1,1570.95,1
20260902,1000000000000168,51088896,0,34,214,A,18,F,3037.01,1,2986.84,1,43.33,1,6.84,1
20260825,1000000000000168,51088896,0,42,187,B,18,S,3037.01,1,3037.01,1,0.0,0,0.0,0
20260902,1000000000000169,30112846,0,5,231,A,2,S,14287.8,1,13648.39,1,545.98,1,93.43,1
20260825,1000000000000169,30112846,0,14,177,A,2,S,14287.8,1,14287.8,1,0.0,0,0.0,0
20260902,1000000000000170,93100528,3,30,143,B,2,S,13145.06,1,5085.71,1,7268.77,1,790.58,1
20260825,1000000000000170,93100528,3,16,105,B,25,O,13145.06,1,4739.2,1,7787.89,1,617.97,1
20260902,1000000000000171,57853401,0,6,210,B,18,F,5801.9,1,5801.9,1,0.0,0,0.0,0
20260825,1000000000000171,57853401,0,39,212,A,25,F,5801.9,1,5801.9,1,0.0,0,0.0,0
20260902,1000000000000172,67494251,0,16,239,A,10,F,19914.15,1,19914.15,1,0.0,0,0.0,0
20260825,1000000000000172,67494251,0,50,219,B,25,F,19914.15,1,19914.15,1,0.0,0,0.0,0
20260902,1000000000000173,39621339,0,19,184,B,18,S,1800.0,1,1787.86,1,10.47,1,1.67,1
20260825,1000000000000173,39621339,0,13,206,B,2,O,1800.0,1,1800.0,1,0.0,0,0.0,0
20260902,1000000000000174,22840776,0,10,200,B,2,S,2470.04,1,2470.04,1,0.0,0,0.0,0
20260825,1000000000000174,22840776,0,30,230,A,2,S,2470.04,1,2470.04,1,0.0,0,0.0,0
20260902,1000000000000175,48215197,0,4,237,A,10,S,24346.31,1,24346.31,1,0.0,0,0.0,0
20260825,1000000000000175,48215197,0,30,214,B,2,F,24346.31,1,24346.31,1,0.0,0,0.0,0
20260902,1000000000000176,45020235,0,45,212,B,10,O,2525.0,1,2525.0,1,0.0,0,0.0,0
20260825,1000000000000176,45020235,0,49,205,A,18,F,2525.0,1,2525.0,1,0.0,0,0.0,0
20260902,1000000000000177,66785928,0,11,192,A,18,S,1675.0,1,1675.0,1,0.0,0,0.0,0
20260825,1000000000000177,66785928,0,16,215,B,2,F,1675.0,1,1675.0,1,0.0,0,0.0,0
20260902,1000000000000178,45929474,0,1,238,B,18,F,7381.4,1,7296.61,1,65.04,1,19.75,1
20260825,1000000000000178,45929474,0,46,189,B,2,F,7381.4,1,7381.4,1,0.0,0,0.0,0
20260902,1000000000000179,14957087,0,19,207,A,2,F,1625.0,1,1621.07,1,2.92,1,1.01,1
20260825,1000000000000179,14957087,0,15,205,A,10,S,1625.0,1,1625.0,1,0.0,0,0.0,0
20260902,1000000000000180,72982807,0,13,183,B,18,F,13101.86,1,13101.86,1,0.0,0,0.0,0
20260825,1000000000000180,72982807,0,43,187,A,25,F,13101.86,1,13101.86,1,0.0,0,0.0,0
20260902,1000000000000181,91640944,0,21,212,B,25,O,6616.97,1,6616.97,1,0.0,0,0.0,0
20260825,1000000000000181,91640944,0,16,184,A,18,F,6616.97,1,6616.97,1,0.0,0,0.0,0
20260902,1000000000000182,65796147,0,7,197,B,25,F,13427.44,1,13427.44,1,0.0,0,0.0,0
20260825,1000000000000182,65796147,0,28,227,B,18,F,13427.44,1,13427.44,1,0.0,0,0.0,0
20260902,1000000000000183,83465365,0,45,239,B,18,F,2051.63,1,2051.63,1,0.0,0,0.0,0
20260825,1000000000000183,83465365,0,48,213,A,25,O,2051.63,1,2051.63,1,0.0,0,0.0,0
20260902,1000000000000184,74914236,0,49,183,B,25,F,6997.55,1,6997.55,1,0.0,0,0.0,0
20260825,1000000000000184,74914236,0,39,218,A,18,S,6997.55,1,6997.55,1,0.0,0,0.0,0
20260902,1000000000000185,79983564,0,28,205,B,18,S,9667.66,1,9667.66,1,0.0,0,0.0,0
20260825,1000000000000185,79983564,0,27,202,A,2,S,9667.66,1,9667.66,1,0.0,0,0.0,0
20260902,1000000000000186,63940074,0,1,227,A,25,O,18252.93,1,18252.93,1,0.0,0,0.0,0
20260825,1000000000000186,63940074,0,46,208,A,25,S,18252.93,1,18252.93,1,0.0,0,0.0,0
20260902,1000000000000187,36907194,0,3,230,A,18,F,18274.63,1,18274.63,1,0.0,0,0.0,0
20260825,1000000000000187,36907194,0,17,190,B,2,O,18274.63,1,18274.63,1,0.0,0,0.0,0
20260902,1000000000000188,42772218,0,17,219,B,18,O,8134.0,1,8134.0,1,0.0,0,0.0,0
20260825,1000000000000188,42772218,0,10,248,B,2,F,8134.0,1,7919.96,1,209.57,1,4.47,1
20260902,1000000000000189,68278926,0,23,210,B,10,O,5908.28,1,5908.28,1,0.0,0,0.0,0
20260825,1000000000000189,68278926,0,5,197,B,2,S,5908.28,1,5908.28,1,0.0,0,0.0,0
20260902,1000000000000190,49500612,0,41,195,A,2,S,8201.05,1,8201.05,1,0.0,0,0.0,0
20260825,1000000000000190,49500612,0,23,237,A,18,F,8201.05,1,8201.05,1,0.0,0,0.0,0
20260902,1000000000000191,71443076,0,16,174,B,18,S,22335.44,1,22335.44,1,0.0,0,0.0,0
20260825,1000000000000191,71443076,0,46,187,B,25,F,22335.44,1,22335.44,1,0.0,0,0.0,0
20260902,1000000000000192,97577092,0,17,244,A,2,O,12176.47,1,11729.79,1,349.0,1,97.68,1
20260825,1000000000000192,97577092,0,5,222,A,25,F,12176.47,1,12176.47,1,0.0,0,0.0,0
20260902,1000000000000193,91113368,0,1,208,A,25,S,22307.66,1,22307.66,1,0.0,0,0.0,0
20260825,1000000000000193,91113368,0,8,192,B,10,F,22307.66,1,22307.66,1,0.0,0,0.0,0
20260902,1000000000000194,54779565,0,48,203,A,25,S,21600.62,1,21600.62,1,0.0,0,0.0,0
20260825,1000000000000194,54779565,0,26,172,B,25,O,21600.62,1,21600.62,1,0.0,0,0.0,0
20260902,1000000000000195,31554962,0,27,244,B,2,O,17327.07,1,16552.6,1,640.98,1,133.49,1
20260825,1000000000000195,31554962,0,42,244,A,10,O,17327.07,1,17327.07,1,0.0,0,0.0,0
20260902,1000000000000196,72535301,0,2,228,A,18,S,32932.64,1,32932.64,1,0.0,0,0.0,0
20260825,1000000000000196,72535301,0,34,207,A,2,S,32932.64,1,32932.64,1,0.0,0,0.0,0
20260902,1000000000000197,77563757,0,38,197,B,10,S,21694.27,1,21694.27,1,0.0,0,0.0,0
20260825,1000000000000197,77563757,0,46,200,A,18,O,21694.27,1,21694.27,1,0.0,0,0.0,0
20260902,1000000000000198,93858663,0,17,231,B,10,O,15465.12,1,15465.12,1,0.0,0,0.0,0
20260825,1000000000000198,93858663,0,42,250,B,10,S,15465.12,1,15465.12,1,0.0,0,0.0,0
20260902,1000000000000199,89231027,0,34,174,A,25,S,8565.02,1,8565.02,1,0.0,0,0.0,0
20260825,1000000000000199,89231027,0,34,227,B,18,S,8565.02,1,8565.02,1,0.0,0,0.0,0
20260902,1000000000000200,28208520,0,11,203,B,10,F,7228.29,1,7228.29,1,0.0,0,0.0,0
20260825,1000000000000200,28208520,0,8,248,B,18,F,7228.29,1,7228.29,1,0.0,0,0.0,0
20260902,1000000000000201,86132626,0,38,207,A,10,S,2867.73,1,2867.73,1,0.0,0,0.0,0
20260825,1000000000000201,86132626,0,23,233,B,18,F,2867.73,1,2743.04,1,111.8,1,12.89,1
20260902,1000000000000202,78509294,0,36,249,B,10,O,3938.1,1,3938.1,1,0.0,0,0.0,0
20260825,1000000000000202,78509294,0,49,221,A,2,O,3938.1,1,3938.1,1,0.0,0,0.0,0
20260902,1000000000000203,65888148,0,35,201,B,18,O,4230.47,1,4230.47,1,0.0,0,0.0,0
20260825,1000000000000203,65888148,0,39,217,B,18,F,4230.47,1,4069.71,1,132.96,1,27.8,1
20260902,1000000000000204,42271567,0,46,198,B,18,O,1450.0,1,1438.56,1,9.3,1,2.14,1
20260825,1000000000000204,42271567,0,50,214,B,10,S,1450.0,1,1450.0,1,0.0,0,0.0,0
20260902,1000000000000205,35752970,0,30,242,A,2,S,11492.23,1,11492.23,1,0.0,0,0.0,0
20260825,1000000000000205,35752970,0,22,238,B,10,S,11492.23,1,11492.23,1,0.0,0,0.0,0
20260902,1000000000000206,38000749,0,28,240,A,10,O,16926.69,1,16926.69,1,0.0,0,0.0,0
20260825,1000000000000206,38000749,0,29,181,A,2,O,16926.69,1,16926.69,1,0.0,0,0.0,0
20260902,1000000000000207,60138147,2,30,149,C,18,O,1082.51,1,583.64,1,447.87,1,51.0,1
20260825,1000000000000207,60138147,2,9,117,B,10,S,1082.51,1,518.48,1,346.64,1,217.39,1
20260902,1000000000000208,37789808,0,12,219,A,10,F,2402.0,1,2298.93,1,78.01,1,25.06,1
20260825,1000000000000208,37789808,0,36,197,B,18,F,2402.0,1,2402.0,1,0.0,0,0.0,0
20260902,1000000000000209,23785264,0,16,177,B,18,S,7647.38,1,7647.38,1,0.0,0,0.0,0
20260825,1000000000000209,23785264,0,30,248,A,18,S,7647.38,1,7647.38,1,0.0,0,0.0,0
20260902,1000000000000210,58898211,0,21,229,A,10,F,18370.99,1,18370.99,1,0.0,0,0.0,0
20260825,1000000000000210,58898211,0,18,199,B,10,F,18370.99,1,18370.99,1,0.0,0,0.0,0
20260902,1000000000000211,12760674,0,31,201,B,18,O,2700.0,1,2700.0,1,0.0,0,0.0,0
20260825,1000000000000211,12760674,0,8,245,A,25,O,2700.0,1,2685.73,1,8.65,1,5.62,1
20260902,1000000000000212,98227915,0,26,232,A,25,S,21461.81,1,21461.81,1,0.0,0,0.0,0
20260825,1000000000000212,98227915,0,13,238,A,10,S,21461.81,1,21461.81,1,0.0,0,0.0,0
20260902,1000000000000213,27893746,4,15,125,D,2,S,11397.18,1,3247.18,1,7573.23,1,576.77,1
20260825,1000000000000213,27893746,4,2,148,C,18,S,11397.18,1,2942.56,1,5141.91,1,3312.71,1
20260902,1000000000000214,46552130,0,1,176,B,18,S,2061.86,1,2061.86,1,0.0,0,0.0,0
20260825,1000000000000214,46552130,0,8,196,A,10,O,2061.86,1,2061.86,1,0.0,0,0.0,0
20260902,1000000000000215,13027878,0,49,233,B,25,O,5336.44,1,5336.44,1,0.0,0,0.0,0
20260825,1000000000000215,13027878,0,9,220,A,25,S,5336.44,1,5336.44,1,0.0,0,0.0,0
20260902,1000000000000216,48832971,0,46,208,B,10,F,11863.35,1,11863.35,1,0.0,0,0.0,0
20260825,1000000000000216,48832971,0,13,230,A,18,O,11863.35,1,11863.35,1,0.0,0,0.0,0
20260902,1000000000000217,28451000,0,9,173,A,25,O,8076.75,1,8076.75,1,0.0,0,0.0,0
20260825,1000000000000217,28451000,0,30,203,A,2,S,8076.75,1,8076.75,1,0.0,0,0.0,0
20260902,1000000000000218,71771191,0,13,213,A,10,S,3536.73,1,3536.73,1,0.0,0,0.0,0
20260825,1000000000000218,71771191,0,31,173,A,25,S,3536.73,1,3536.73,1,0.0,0,0.0,0
20260902,1000000000000219,49765631,0,15,233,B,18,O,6856.86,1,6856.86,1,0.0,0,0.0,0
20260825,1000000000000219,49765631,0,7,247,A,18,F,6856.86,1,6856.86,1,0.0,0,0.0,0
20260902,1000000000000220,17612531,0,29,179,A,25,S,6637.96,1,6637.96,1,0.0,0,0.0,0
20260825,1000000000000220,17612531,0,9,178,A,25,S,6637.96,1,6637.96,1,0.0,0,0.0,0
20260902,1000000000000221,40218464,0,23,183,A,25,S,12825.21,1,12825.21,1,0.0,0,0.0,0
20260825,1000000000000221,40218464,0,31,181,B,2,S,12825.21,1,12825.21,1,0.0,0,0.0,0
20260902,1000000000000222,18167678,2,5,129,B,18,O,6053.04,1,2621.76,1,3273.5,1,157.78,1
20260825,1000000000000222,18167678,2,39,118,B,18,F,6053.04,1,2696.96,1,3184.18,1,171.9,1
20260902,1000000000000223,84669791,0,46,228,A,10,S,8873.34,1,8873.34,1,0.0,0,0.0,0
20260825,1000000000000223,84669791,0,40,232,B,18,O,8873.34,1,8873.34,1,0.0,0,0.0,0
20260902,1000000000000224,11994033,2,49,161,B,25,S,4747.7,1,2551.84,1,1954.51,1,241.35,1
20260825,1000000000000224,11994033,2,30,151,B,25,O,4747.7,1,2004.15,1,2348.35,1,395.2,1
20260902,1000000000000225,93114754,3,50,105,B,18,F,17487.84,1,5146.2,1,9103.41,1,3238.23,1
20260825,1000000000000225,93114754,3,7,133,B,18,S,17487.84,1,5205.95,1,9940.45,1,2341.44,1
20260902,1000000000000226,32968631,0,23,175,B,25,S,7855.38,1,7855.38,1,0.0,0,0.0,0
20260825,1000000000000226,32968631,0,10,176,B,2,S,7855.38,1,7855.38,1,0.0,0,0.0,0
20260902,1000000000000227,65660855,0,37,198,A,18,O,3773.13,1,3773.13,1,0.0,0,0.0,0
20260825,1000000000000227,65660855,0,46,192,A,2,O,3773.13,1,3773.13,1,0.0,0,0.0,0
20260902,1000000000000228,76473996,0,10,192,B,2,O,1650.0,1,1650.0,1,0.0,0,0.0,0
20260825,1000000000000228,76473996,0,43,244,A,2,O,1650.0,1,1650.0,1,0.0,0,0.0,0
20260902,1000000000000229,15758374,2,20,139,C,25,S,28808.03,1,14639.5,1,10228.7,1,3939.83,1
20260825,1000000000000229,15758374,2,38,170,C,18,S,28808.03,1,13400.97,1,12928.16,1,2478.9,1
20260902,1000000000000230,80121606,2,15,140,C,10,S,5944.18,1,3040.93,1,2593.35,1,309.9,1
20260825,1000000000000230,80121606,2,37,151,B,10,F,5944.18,1,2693.76,1,2523.83,1,726.59,1
20260902,1000000000000231,75937854,3,26,135,B,10,O,15859.31,1,6664.32,1,5793.34,1,3401.65,1
20260825,1000000000000231,75937854,3,47,151,B,25,O,15859.31,1,4740.84,1,10913.07,1,205.4,1
20260902,1000000000000232,19338435,0,28,183,A,18,S,8027.29,1,7968.24,1,59.01,1,0.04,1
20260825,1000000000000232,19338435,0,8,185,B,10,F,8027.29,1,8027.29,1,0.0,0,0.0,0
20260902,1000000000000233,26537057,0,20,192,B,10,F,2025.0,1,2025.0,1,0.0,0,0.0,0
20260825,1000000000000233,26537057,0,15,199,B,2,O,2025.0,1,2025.0,1,0.0,0,0.0,0
20260902,1000000000000234,43597595,0,16,247,B,25,S,2018.5,1,2018.5,1,0.0,0,0.0,0
20260825,1000000000000234,43597595,0,15,235,A,2,S,2018.5,1,2018.5,1,0.0,0,0.0,0
20260902,1000000000000235,61548700,0,9,183,A,10,S,2275.0,1,2275.0,1,0.0,0,0.0,0
20260825,1000000000000235,61548700,0,12,216,A,10,O,2275.0,1,2275.0,1,0.0,0,0.0,0
20260902,1000000000000236,77928050,2,29,105,C,10,S,1100.0,1,567.22,1,374.72,1,158.06,1
20260825,1000000000000236,77928050,2,5,117,B,25,F,1100.0,1,568.95,1,465.1,1,65.95,1
20260902,1000000000000237,29711133,0,19,239,B,10,S,5787.44,1,5787.44,1,0.0,0,0.0,0
20260825,1000000000000237,29711133,0,8,177,B,10,F,5787.44,1,5787.44,1,0.0,0,0.0,0
20260902,1000000000000238,60673912,0,38,195,A,25,S,35794.64,1,35794.64,1,0.0,0,0.0,0
20260825,1000000000000238,60673912,0,5,222,A,10,O,35794.64,1,35794.64,1,0.0,0,0.0,0
20260902,1000000000000239,11137995,0,3,240,B,25,F,4501.93,1,4501.93,1,0.0,0,0.0,0
20260825,1000000000000239,11137995,0,7,208,A,10,S,4501.93,1,4501.93,1,0.0,0,0.0,0
20260902,1000000000000240,33525469,0,22,228,A,25,O,11017.11,1,11017.11,1,0.0,0,0.0,0
20260825,1000000000000240,33525469,0,8,179,B,18,F,11017.11,1,11017.11,1,0.0,0,0.0,0
20260902,1000000000000241,77042902,0,3,227,A,10,F,11957.38,1,11957.38,1,0.0,0,0.0,0
20260825,1000000000000241,77042902,0,29,219,A,10,O,11957.38,1,11957.38,1,0.0,0,0.0,0
20260902,1000000000000242,71765956,0,7,223,A,18,F,11089.19,1,11089.19,1,0.0,0,0.0,0
20260825,1000000000000242,71765956,0,19,172,A,2,F,11089.19,1,11089.19,1,0.0,0,0.0,0
20260902,1000000000000243,12401865,0,45,237,A,18,F,10448.12,1,10448.12,1,0.0,0,0.0,0
20260825,1000000000000243,12401865,0,44,186,B,2,F,10448.12,1,10098.46,1,327.48,1,22.18,1
20260902,1000000000000244,62511584,0,10,187,A,2,S,500.0,1,500.0,1,0.0,0,0.0,0
20260825,1000000000000244,62511584,0,13,170,A,2,O,500.0,1,500.0,1,0.0,0,0.0,0
20260902,1000000000000245,83016039,0,17,192,B,25,S,13019.74,1,13019.74,1,0.0,0,0.0,0
20260825,1000000000000245,83016039,0,27,231,B,25,S,13019.74,1,13019.74,1,0.0,0,0.0,0
20260902,1000000000000246,93884706,0,28,219,A,18,F,4934.01,1,4934.01,1,0.0,0,0.0,0
20260825,1000000000000246,93884706,0,50,215,A,25,S,4934.01,1,4934.01,1,0.0,0,0.0,0
20260902,1000000000000247,43725117,0,41,192,B,18,S,14216.79,1,14216.79,1,0.0,0,0.0,0
20260825,1000000000000247,43725117,0,5,225,B,10,O,14216.79,1,14216.79,1,0.0,0,0.0,0
20260902,1000000000000248,88388417,0,7,237,B,18,F,7412.5,1,7412.5,1,0.0,0,0.0,0
20260825,1000000000000248,88388417,0,27,180,B,18,F,7412.5,1,7412.5,1,0.0,0,0.0,0
20260902,1000000000000249,66343204,0,21,224,B,10,O,7100.45,1,7100.45,1,0.0,0,0.0,0
20260825,1000000000000249,66343204,0,26,218,B,2,S,7100.45,1,7100.45,1,0.0,0,0.0,0
20260902,1000000000000250,69922335,0,29,202,B,2,F,11676.22,1,11676.22,1,0.0,0,0.0,0
20260825,1000000000000250,69922335,0,19,187,A,10,O,11676.22,1,11676.22,1,0.0,0,0.0,0
20260902,1000000000000251,77796914,0,25,232,B,2,F,15277.97,1,15277.97,1,0.0,0,0.0,0
20260825,1000000000000251,77796914,0,25,198,B,18,F,15277.97,1,15277.97,1,0.0,0,0.0,0
20260902,1000000000000252,53047104,0,49,176,A,10,O,8091.67,1,8091.67,1,0.0,0,0.0,0
20260825,1000000000000252,53047104,0,49,195,B,2,O,8091.67,1,8091.67,1,0.0,0,0.0,0
20260902,1000000000000253,73847325,0,21,249,A,10,O,18829.72,1,18829.72,1,0.0,0,0.0,0
20260825,1000000000000253,73847325,0,22,174,A,10,O,18829.72,1,18829.72,1,0.0,0,0.0,0
20260902,1000000000000254,41596688,1,19,154,B,25,F,8630.83,1,5177.96,1,3153.87,1,299.0,1
20260825,1000000000000254,41596688,1,33,145,C,25,S,8630.83,1,5530.08,1,2741.34,1,359.41,1
20260902,1000000000000255,18955224,3,2,156,B,10,F,18024.04,1,7194.1,1,6846.23,1,3983.71,1
20260825,1000000000000255,18955224,3,38,153,B,18,O,18024.04,1,5843.15,1,11171.71,1,1009.18,1
20260902,1000000000000256,51505175,0,10,225,B,10,F,9184.41,1,9184.41,1,0.0,0,0.0,0
20260825,1000000000000256,51505175,0,16,175,B,25,O,9184.41,1,9184.41,1,0.0,0,0.0,0
20260902,1000000000000257,91146290,0,17,223,A,10,F,4748.31,1,4748.31,1,0.0,0,0.0,0
20260825,1000000000000257,91146290,0,14,249,B,2,S,4748.31,1,4613.82,1,128.8,1,5.69,1
20260902,1000000000000258,27198990,2,7,161,C,25,F,11248.86,1,6042.81,1,4808.78,1,397.27,1
20260825,1000000000000258,27198990,2,2,137,C,2,S,11248.86,1,5864.11,1,3545.02,1,1839.73,1
20260902,1000000000000259,66678771,0,47,248,B,25,F,3081.1,1,3081.1,1,0.0,0,0.0,0
